Id,Mobile,Route,Day,StartDate,Location,Postcode,Start,End,Address,Place,Lat,Lng
61,Taunton,H,Tuesday,4/26/2016,Combwich Post Office,TA5 2QW,11:10,11:30,"Post Office, High St, Cannington, Bridgwater, Somerset TA5 2HE, UK",Bridgwater,51.151123,-3.0655092
62,Taunton,H,Tuesday,4/26/2016,Captains,TA5 2PY,11:40,11:55,"Stockland Bristol, Bridgwater, Somerset TA5 2PY, UK",Bridgwater,51.1874233,-3.0833025
63,Taunton,H,Tuesday,4/26/2016,Ridgeway Lane (Telephone Box),TA5 1TN,12:05,12:20,"Stolford, Stogursey, Bridgwater, Somerset TA5 1TN, UK",Bridgwater,51.20259799999999,-3.1058592
64,Taunton,H,Tuesday,4/26/2016,Shurton Inn,TA5 1QE,12:35,12:55,"Shurton Ln, Shurton, Stogursey, Bridgwater, Somerset TA5 1QE, UK",Bridgwater,51.1921253,-3.1438605
65,Taunton,H,Tuesday,4/26/2016,Greyhound Inn,TA5 1QR,13:40,14:10,"Lime St, Stogursey, Bridgwater, Somerset TA5 1QR, UK",Bridgwater,51.1804485,-3.1415827
66,Taunton,H,Tuesday,4/26/2016,Town Close No 30,TA5 1RN,14:15,14:40,"30 Town Cl, Stogursey, Bridgwater, Somerset TA5 1RN, UK",Bridgwater,51.1815744,-3.146559
67,Taunton,H,Tuesday,4/26/2016,Brook Street,TA5 2HP,15:00,15:30,"Brook St, Cannington, Bridgwater, Somerset TA5 2HP, UK",Bridgwater,51.1501201,-3.0610825
68,Taunton,I,Wednesday,4/27/2016,Dinhams Farm Corner,TA3 5JG,9:35,9:45,"Dinhams, Ruishton, Taunton, Somerset TA3 5JG, UK",Taunton,51.0196902,-3.0485493
69,Taunton,I,Wednesday,4/27/2016,Hatch Beauchamp Village Hall,TA3 6SQ,9:55,10:20,"W Hatch Ln, Taunton, Somerset TA3, UK",Taunton,50.9875972,-3.012325
70,Taunton,I,Wednesday,4/27/2016,Capland,TA3 6TW,10:20,10:40,"Capland Ct, Capland, Hatch Beauchamp, Taunton, Somerset TA3 6TP, UK",Taunton,50.9645075,-2.9897379
71,Taunton,I,Wednesday,4/27/2016,Ilton School,TA19 9EX,10:55,11:30,"Old School House, Ilton, Ilminster, Somerset TA19 9EX, UK",Ilminster,50.9527221,-2.9251889
72,Taunton,I,Wednesday,4/27/2016,Merrifields,TA19 9HA,11:40,11:50,"Merrifield Cottage, Merryfield Ln, Ilton, Ilminster, Somerset TA19 9HA, UK",Ilminster,50.9508756,-2.9312168
73,Taunton,I,Wednesday,4/27/2016,Tatworth Memorial Hall,TA20 2QA,13:00,13:20,"Memorial Hall (SW-bound), South Chard, Chard, Somerset TA20, UK",Chard,50.84336099999999,-2.949987
74,Taunton,I,Wednesday,4/27/2016,Davies Close,TA20 4JL,13:40,14:00,"Davies Cl, Winsham, Chard, Somerset TA20 4JL, UK",Chard,50.853512,-2.8933195
75,Taunton,I,Wednesday,4/27/2016,Winsham School & Bell Inn,TA20 4HU,14:10,14:40,"School Ln, Beaminster, Dorset DT8 3LG, UK",Beaminster,50.8289238,-2.8549629
76,Taunton,I,Wednesday,4/27/2016,Higher Chillington,TA19 0PT,14:55,15:10,"High Ridge House, Higher Chillington, Ilminster, Somerset TA19 0PT, UK",Ilminster,50.8883115,-2.8697878
77,Taunton,J,Thursday,4/28/2016,Childrenï¿½s Centre,TA23 0EX,9:45,10:00,"Watchet, Somerset TA23 0EX, UK",Watchet,51.176823,-3.3218907
78,Taunton,J,Thursday,4/28/2016,Roadwater Church,TA23 0RB,10:30,10:50,"Roadwater, Watchet, Somerset TA23 0RB, UK",Watchet,51.13806899999999,-3.3829912
79,Taunton,J,Thursday,4/28/2016,Higher Rodhuish Farm,TA24 6QL,11:00,11:20,"Rodhuish, Minehead, Somerset TA24 6QL, UK",Minehead,51.14882129999999,-3.4147956
80,Taunton,J,Thursday,4/28/2016,The Causeway,TA24 6PZ,11:30,11:50,"Withycombe, Minehead, Somerset TA24 6PZ, UK",Minehead,51.1624458,-3.4087768
81,Taunton,J,Thursday,4/28/2016,Carantoc Place,TA24 6NE,12:00,12:15,"Carantoc Pl, Carhampton, Minehead, Somerset TA24 6NE, UK",Minehead,51.174005,-3.4225761
82,Taunton,J,Thursday,4/28/2016,Blue Anchor Garage,TA24 6JZ,12:25,12:40,"Blue Anchor, Minehead, Somerset TA24 6JZ, UK",Minehead,51.1786596,-3.4035198
83,Taunton,J,Thursday,4/28/2016,Hill Top,TA5 1SR,13:45,14:05,"Hilltop Ln, Bridgwater, Somerset TA5 1SR, UK",Bridgwater,51.1788263,-3.2080424
84,Taunton,J,Thursday,4/28/2016,Frog Street T junction,TA5 1EJ,14:10,14:25,"East Quantoxhead, Bridgwater, Somerset TA5 1EJ, UK",Bridgwater,51.1828702,-3.2351293
85,Taunton,K,Friday,4/29/2016,Slough,TA3 5RW,9:15,9:25,"Slough Ln, Taunton, Somerset TA3 6JQ, UK",Taunton,51.0449393,-2.9283727
86,Taunton,K,Friday,4/29/2016,Farmers Arms,TA3 5RS,9:30,9:40,"West Hatch, Taunton, Somerset TA3 5RS, UK",Taunton,50.9729129,-3.0372545
87,Taunton,K,Friday,4/29/2016,Allenï¿½s Farm,TA3 6AG,10:00,10:20,"Broadmead, Beercrocombe, Taunton, Somerset TA3 6AG, UK",Taunton,50.9790727,-2.9659683
88,Taunton,K,Friday,4/29/2016,Barrington School,TA19 0JR,10:45,11:00,"School Ln, Seavington St Michael, Ilminster, Somerset TA19 0QD, UK",Ilminster,50.932128,-2.8409525
89,Taunton,K,Friday,4/29/2016,Buttle Close,TA19 0LU,11:10,11:25,"Buttle Cl, Shepton Beauchamp, Ilminster, Somerset TA19 0LU, UK",Ilminster,50.9495831,-2.849535
90,Taunton,K,Friday,4/29/2016,Opposite Ruskway Lane,TA10 0BN,11:40,11:50,"Westport, Langport, Somerset TA10 0BN, UK",Langport,50.9738838,-2.878308
91,Taunton,K,Friday,4/29/2016,Homelea,TA7 0SA,12:50,13:00,"Burrow Bridge, Bridgwater, Somerset TA7 0SA, UK",Bridgwater,51.0607283,-2.9277545
92,Taunton,K,Friday,4/29/2016,Outwood Rd Station Post Box,TA3 5AJ,13:20,13:35,"West Lyng, Taunton, Somerset TA3 5AJ, UK",Taunton,51.0497126,-2.9912625
93,Taunton,K,Friday,4/29/2016,Durston Village Hall,TA3 5AG,13:40,13:55,"Somerset Ducks, Moon Ln, North Petherton, Bridgwater, Somerset TA7 0DS, UK",Bridgwater,51.0673401,-3.014046
94,Taunton,L,Tuesday,4/5/2016,Amberley,TA3 7SG,9:30,9:45,"Blagdon Hill, Taunton, Somerset TA3 7SG, UK",Taunton,50.9608695,-3.124914
95,Taunton,L,Tuesday,4/5/2016,Pear Tree Cottage,TA3 7QB,10:00,10:20,"Pear Tree, Mount Pleasant, Pilton, Shepton Mallet, Somerset BA4 4BL, UK",Shepton Mallet,51.1635788,-2.5830942
96,Taunton,L,Tuesday,4/5/2016,Churchinford Village Hall & Playgroup,TA3 7RG,10:30,11:15,TODO,TODO,TODO,TODO
97,Taunton,L,Tuesday,4/5/2016,Old School,TA21 0BJ,11:40,12:00,"The Old School, Holywell Lake, Wellington, Somerset TA21 0EJ, UK",Wellington,50.9756517,-3.2747474
98,Taunton,L,Tuesday,4/5/2016,Hillfarance Church,TA4 1AW,12:10,12:30,"Hillfarrance, Taunton, Somerset TA4 1AW, UK",Taunton,51.0154959,-3.1897324
99,Taunton,L,Tuesday,4/5/2016,Cotford St Luke School,TA4 1JD,13:15,13:45,"Nichol Pl, Cotford St Luke, Taunton, Somerset TA4 1JD, UK",Taunton,51.0385121,-3.1849019
100,Taunton,L,Tuesday,4/5/2016,Lydeard St Lawrence School,TA4 3SF,14:00,14:45,"School Cottage, Crowcombe, Taunton, Somerset TA4 4AA, UK",Taunton,51.1217334,-3.2297398
101,Taunton,L,Tuesday,4/5/2016,Old Post Office,TA4 3SB,14:50,15:10,"The Old Post Office, Huish Champflower, Taunton, Somerset TA4 2EY, UK",Taunton,51.0536944,-3.3581746
102,Taunton,M,Friday,4/6/2016,Crowcombe School,TA4 4AA,10:00,10:30,"School Cottage, Crowcombe, Taunton, Somerset TA4 4AA, UK",Taunton,51.1217334,-3.2297398
103,Taunton,M,Friday,4/6/2016,Hagleys Green,TA4 4AH,10:40,10:50,"Hagleys Green, Crowcombe, Taunton, Somerset TA4 4AH, UK",Taunton,51.1243522,-3.2372257
104,Taunton,M,Friday,4/6/2016,Stogumber School,TA4 3TQ,11:00,11:30,"School Cottage, Crowcombe, Taunton, Somerset TA4 4AA, UK",Taunton,51.1217334,-3.2297398
105,Taunton,M,Friday,4/6/2016,Notley Arms,TA4 4JB,11:40,12:10,"Notley Arms Inn Exmoor National Park, Front St, Taunton, Somerset TA4 4JB, UK",Taunton,51.129199,-3.32619
106,Taunton,M,Friday,4/6/2016,Castlake Farm,TA4 3TT,12:25,12:35,"Castlake Ln, Stogumber, Taunton, Somerset TA4 3TT, UK",Taunton,51.1205292,-3.2650576
107,Taunton,M,Friday,4/6/2016,Higher Vexford Farm,TA4 3QF,12:45,12:55,"Wood Farm Cottage, Wood Ln, Taunton, Somerset TA4 3TJ, UK",Taunton,51.1217502,-3.2874818
108,Taunton,M,Friday,4/6/2016,Station,TA4 4PA,13:10,13:40,"Bakers Orchard, Crowcombe Heathfield, Taunton, Somerset TA4 4PA, UK",Taunton,51.102047,-3.2341733
109,Wells,A,Wednesday,4/13/2016,South Barrow Church,BA22 7LN,9:25,9:45,"Church Rd, Sparkford, Yeovil, Somerset BA22, UK",Yeovil,51.0314495,-2.5617371
110,Wells,A,Wednesday,4/13/2016,North Cadbury Village Hall,BA22 7DW,10:00,10:20,"Cadbury Cl, Burnham-on-Sea, Somerset TA8 2UL, UK",Burnham-on-Sea,51.24771339999999,-2.9894959
111,Wells,A,Wednesday,4/13/2016,Chapel Road (Telephone Box),BA22 7EX,10:25,10:40,"Chapel Rd, South Cadbury, Yeovil, Somerset BA22 7EX, UK",Yeovil,51.0297715,-2.5250714
112,Wells,A,Wednesday,4/13/2016,Sutton Montis Church,BA22 7HE,10:50,11:05,"Church Hill, Yeovil, Somerset BA22 7HE, UK",Yeovil,51.0213681,-2.5366754
113,Wells,A,Wednesday,4/13/2016,Queen Camel Village Hall,BA22 7NQ,11:15,11:35,"Gatehouse Queen Camel, Queen Camel, Yeovil, Somerset BA22 7NX, UK",Yeovil,51.02218990000001,-2.576784
114,Wells,A,Wednesday,4/13/2016,Townsend,BA22 8BP,11:45,12:05,"Townsend, Marston Magna, Yeovil, Somerset BA22 8BP, UK",Yeovil,50.9997188,-2.5856827
115,Wells,A,Wednesday,4/13/2016,Road to Rimpton House,BA22 8AQ,12:10,12:40,"Rimpton, Yeovil, Somerset BA22 8AQ, UK",Yeovil,50.9953312,-2.5617596
116,Wells,A,Wednesday,4/13/2016,Red Tile Farm,BA22 8DF,13:30,13:40,"Court Gardens, Marston Magna, Yeovil, Somerset BA22 8DF, UK",Yeovil,50.999089,-2.5785352
117,Wells,A,Wednesday,4/13/2016,Hales Meadow,BA21 5TA,13:50,14:05,"Hales Meadow, Mudford, Yeovil, Somerset BA21 5TA, UK",Yeovil,50.97360219999999,-2.6073592
118,Wells,A,Wednesday,4/13/2016,Fore Street Middle Farmhouse,BA22 7QW,14:20,14:40,"West Camel, Yeovil, Somerset BA22 7QW, UK",Yeovil,51.0205329,-2.6056913
119,Wells,B,Thursday,4/14/2016,Ashcott School,TA7 9PP,9:30,10:00,"School Hill, Ashcott, Bridgwater, Somerset TA7 9PN, UK",Bridgwater,51.1307644,-2.8105967
120,Wells,B,Thursday,4/14/2016,Middle Street,TA7 9QB,10:05,10:20,"Middle St, Ashcott, Bridgwater, Somerset TA7 9QB, UK",Bridgwater,51.12977069999999,-2.8066207
121,Wells,B,Thursday,4/14/2016,Wellfield House,TA7 9HT,10:35,10:55,"Wellfield House, Manor Rd, Bridgwater, Somerset TA7 9HT, UK",Bridgwater,51.1501623,-2.8648803
122,Wells,B,Thursday,4/14/2016,Church Lane,TA7 9DY,11:10,11:40,"Church Ln, Bridgwater, Somerset TA7 9DY, UK",Bridgwater,51.1543021,-2.895895
123,Wells,B,Thursday,4/14/2016,Station Road,TA7 8JZ,11:50,12:20,"Station Rd, Cossington, Bridgwater, Somerset TA7 8JZ, UK",Bridgwater,51.1618706,-2.9201866
124,Wells,B,Thursday,4/14/2016,Westham Farm,BS28 4UR,12:50,13:05,"Farm Cottage, Heath House, Wedmore, Somerset BS28 4UG, UK",Wedmore,51.2131376,-2.8347348
125,Wells,B,Thursday,4/14/2016,Central Car Park,BS28 4AN,13:45,14:45,"Wedmore, Somerset BS28 4AN, UK",Wedmore,51.2273586,-2.8136822
126,Wells,B,Thursday,4/14/2016,Little Owls (Childcare),BS28 4SA,14:50,15:05,"Wedmore, Somerset BS28 4SA, UK",Wedmore,51.22511,-2.799408
127,Wells,B,Thursday,4/14/2016,Honeycombe House,BS28 4TD,15:10,15:30,"Honeycombe House, Bagley, Wedmore, Somerset BS28 4TD, UK",Wedmore,51.2107566,-2.7760507
128,Wells,C,Friday,4/15/2016,Woolavington Village Hall,TA7 8DY,9:15,10:00,"Woolavington Hill, Woolavington, Bridgwater, Somerset TA7 8HG, UK",Bridgwater,51.1623518,-2.9348904
129,Wells,C,Friday,4/15/2016,Puriton Village Hall,TA7 8BP,10:10,10:25,"Puriton Hill, Puriton, Bridgwater, Somerset TA7 8AF, UK",Bridgwater,51.16293659999999,-2.9688866
130,Wells,C,Friday,4/15/2016,Gaunts Road,TA6 4SF,10:30,10:50,"Gaunts Rd, Pawlett, Bridgwater, Somerset TA6 4SF, UK",Bridgwater,51.1795638,-3.0037025
131,Wells,C,Friday,4/15/2016,Chapel Road,TA6 4SH,10:55,11:10,"Chapel Rd, Pawlett, Bridgwater, Somerset TA6 4SH, UK",Bridgwater,51.183077,-3.0092587
132,Wells,C,Friday,4/15/2016,Brent Knoll Post Office,TA9 4DT,11:30,12:00,"Post Office, Bristol Rd, Rooks Bridge, Axbridge, Somerset BS26 2TE, UK",Axbridge,51.2668803,-2.9064443
133,Wells,C,Friday,4/15/2016,Pinewood Estate,TA8 2RU,12:15,12:30,"Pinewood Way, Brean, Burnham-on-Sea, Somerset TA8 2RU, UK",Burnham-on-Sea,51.2928822,-3.0118911
134,Wells,C,Friday,4/15/2016,War Memorial,BS24 0DS,13:20,13:50,"Church Ln, Lympsham, Weston-super-Mare, Somerset BS24 0DS, UK",Weston-super-Mare,51.2829026,-2.9530589
135,Wells,C,Friday,4/15/2016,Stone Bow Farm,BS24 0HT,13:55,14:00,"Eastertown, Lympsham, Weston-super-Mare, Somerset BS24 0HT, UK",Weston-super-Mare,51.2855238,-2.9380281
136,Wells,C,Friday,4/15/2016,East Drive (off Strowlands),TA9 4JQ,14:05,14:25,"Strowlands, East Brent, Highbridge, Somerset TA9 4JQ, UK",Highbridge,51.2628265,-2.9325485
137,Wells,D,Tuesday,4/19/2016,Hemington School,BA3 5XU,9:30,10:00,"School Ln, Kilmersdon, Radstock, Somerset BA3 5TE, UK",Radstock,51.2710892,-2.4429295
138,Wells,D,Tuesday,4/19/2016,Tellisford Lane Estate,BA2 7LL,10:15,10:55,"Tellisford Ln, Norton St Philip, Bath, Somerset BA2 7LL, UK",Bath,51.2987255,-2.3206044
139,Wells,D,Tuesday,4/19/2016,Marsh Road (Pre school),BA11 6PB,11:05,11:20,"High St, Rode, Frome, Somerset BA11 6PB, UK",Frome,51.2850883,-2.2808194
140,Wells,D,Tuesday,4/19/2016,The Green,BA11 6PE,11:25,11:45,"Somerset Rd, Frome, Somerset BA11, UK",Frome,51.2269874,-2.3277138
141,Wells,D,Tuesday,4/19/2016,Market Place,BA11 4LY,12:05,12:20,"The Market Pl, Nunney, Frome, Somerset BA11 4LY, UK",Frome,51.2089661,-2.3786011
142,Wells,D,Tuesday,4/19/2016,Seymour Arms,BA11 5HF,12:35,12:45,"Seymour Arms (SE-bound), Witham Friary, Frome, Somerset BA11, UK",Frome,51.166943,-2.366426
